0, 2032
1, 2170
2, 2293
3, 2416
5, 2555
6, 2678
7, 2790
8, 2907
10, 3026
11, 3137
12, 3247
14, 3348
15, 3436
16, 3528
17, 3610
19, 3692
20, 3766
21, 3827
23, 3889
24, 3945
25, 3986
26, 4027
28, 4050
29, 4070
30, 4080
31, 4080
33, 4080
34, 4071
35, 4050
37, 4028
38, 3987
39, 3946
40, 3891
42, 3829
43, 3768
44, 3694
46, 3612
47, 3530
48, 3438
49, 3350
51, 3250
52, 3140
53, 3029
55, 2911
56, 2792
57, 2681
58, 2558
60, 2419
61, 2297
62, 2174
63, 2035
65, 1912
66, 1789
67, 1666
69, 1528
70, 1405
71, 1292
72, 1175
74, 1056
75, 946
76, 835
78, 733
79, 646
80, 553
81, 472
83, 390
84, 315
85, 253
86, 192
88, 135
89, 94
90, 53
92, 30
93, 9
94, 0
95, 0
97, 0
98, 8
99, 28
101, 50
102, 91
103, 131
104, 187
106, 248
107, 310
108, 383
110, 465
111, 547
112, 638
113, 726
115, 826
116, 935
117, 1047
118, 1165
120, 1284
121, 1395
122, 1518
124, 1656
125, 1779
126, 1902
127, 2025
1, 2164
2, 2286
3, 2409
5, 2548
6, 2671
7, 2784
8, 2900
10, 3021
11, 3130
12, 3241
14, 3344
15, 3430
16, 3523
17, 3605
19, 3687
20, 3763
21, 3824
22, 3885
24, 3943
25, 3984
26, 4025
28, 4049
29, 4069
30, 4080
31, 4080
33, 4080
34, 4072
35, 4052
37, 4031
38, 3990
39, 3949
40, 3894
42, 3832
43, 3771
44, 3698
45, 3617
47, 3535
48, 3444
49, 3355
51, 3255
52, 3147
53, 3035
54, 2917
56, 2798
57, 2688
58, 2565
60, 2426
61, 2303
62, 2180
63, 2043
65, 1919
66, 1796
67, 1673
69, 1534
70, 1412
71, 1298
72, 1182
74, 1061
75, 952
76, 841
77, 738
79, 652
80, 558
81, 476
83, 394
84, 318
85, 257
86, 195
88, 137
89, 96
90, 55
92, 31
93, 10
94, 0
95, 0
97, 0
98, 6
99, 27
100, 47
102, 88
103, 129
104, 183
106, 245
107, 306
108, 378
109, 460
111, 542
112, 632
113, 722
115, 821
116, 929
117, 1042
118, 1158
120, 1278
121, 1388
122, 1511
124, 1650
125, 1772
126, 1895
