0, 2032
1, 2201
3, 2355
4, 2521
6, 2678
7, 2815
9, 2969
11, 3106
12, 3247
14, 3369
15, 3487
17, 3590
19, 3692
20, 3782
22, 3858
23, 3935
25, 3987
27, 4035
28, 4060
30, 4080
31, 4080
33, 4080
35, 4060
36, 4035
38, 3987
39, 3936
41, 3859
43, 3782
44, 3693
46, 3591
47, 3488
49, 3370
51, 3249
52, 3108
54, 2970
55, 2817
57, 2679
59, 2523
60, 2356
62, 2203
63, 2033
65, 1879
67, 1726
68, 1560
70, 1403
71, 1265
73, 1112
75, 974
76, 833
78, 711
79, 593
81, 490
83, 388
84, 298
86, 221
87, 145
89, 93
91, 45
92, 19
94, 0
95, 0
97, 0
99, 18
100, 44
102, 92
103, 143
105, 219
107, 296
108, 385
110, 487
111, 590
113, 708
115, 829
116, 970
118, 1107
119, 1261
121, 1398
123, 1555
124, 1721
126, 1875
127, 2029
1, 2198
3, 2352
4, 2517
6, 2675
7, 2813
9, 2966
11, 3103
12, 3245
14, 3367
15, 3485
17, 3588
19, 3690
20, 3780
22, 3857
23, 3934
25, 3986
27, 4034
28, 4060
30, 4080
31, 4080
33, 4080
35, 4061
36, 4035
38, 3988
39, 3937
41, 3861
43, 3784
44, 3695
46, 3593
47, 3490
49, 3372
51, 3251
52, 3111
54, 2973
55, 2820
57, 2682
59, 2526
60, 2359
62, 2206
63, 2037
65, 1882
67, 1729
68, 1563
70, 1406
71, 1267
73, 1115
75, 977
76, 836
78, 713
79, 596
81, 492
83, 390
84, 300
86, 223
87, 146
89, 94
91, 45
92, 20
94, 0
95, 0
97, 0
99, 18
100, 43
102, 91
103, 142
105, 218
107, 294
108, 383
110, 485
111, 588
113, 706
115, 827
116, 967
118, 1104
119, 1258
121, 1395
123, 1551
124, 1718
126, 1872
