0, 2032
1, 2211
3, 2375
5, 2555
6, 2718
8, 2866
10, 3026
11, 3177
13, 3315
15, 3435
17, 3555
18, 3664
20, 3766
22, 3847
23, 3929
25, 3986
27, 4036
28, 4063
30, 4080
32, 4080
34, 4078
35, 4051
37, 4015
39, 3961
40, 3891
42, 3809
44, 3722
46, 3613
47, 3504
49, 3379
51, 3251
52, 3101
54, 2954
56, 2794
57, 2642
59, 2468
61, 2299
63, 2134
64, 1955
66, 1792
68, 1625
69, 1448
71, 1294
73, 1137
75, 989
76, 837
78, 708
80, 583
81, 474
83, 364
85, 275
86, 193
88, 122
90, 68
92, 30
93, 3
95, 0
97, 0
98, 14
100, 41
102, 89
104, 144
105, 226
107, 308
109, 408
110, 517
112, 634
114, 755
115, 891
117, 1044
119, 1202
121, 1349
122, 1513
124, 1693
126, 1856
127, 2020
1, 2200
3, 2363
4, 2543
6, 2707
8, 2855
10, 3016
11, 3166
13, 3305
15, 3426
16, 3547
18, 3656
20, 3760
22, 3842
23, 3924
25, 3982
27, 4034
28, 4061
30, 4080
32, 4080
33, 4080
35, 4053
37, 4019
39, 3964
40, 3897
42, 3815
44, 3730
45, 3621
47, 3512
49, 3387
51, 3261
52, 3113
54, 2965
56, 2804
57, 2654
59, 2481
61, 2310
62, 2147
64, 1967
66, 1803
68, 1638
69, 1460
71, 1304
73, 1148
74, 999
76, 847
78, 715
80, 590
81, 481
83, 372
85, 281
86, 199
88, 126
90, 72
91, 32
93, 5
95, 0
97, 0
98, 12
100, 39
102, 85
103, 140
105, 220
107, 302
109, 400
110, 509
112, 625
114, 745
115, 882
117, 1034
119, 1190
120, 1339
122, 1502
124, 1681
126, 1845
